date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:52	135874/135874	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-212c2%22	http://www.eecs70.org/assets/pdf/hw01-sol.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/hw01-sol.pdf	(from http://www.eecs70.org/)
13:22:11	0/0	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2030%20Apr%202026%2005:22:12%20GMT	https://bcourses.berkeley.edu/courses/1551726/pages/lecture-4	D:/File/cs70_web/cs70/bcourses.berkeley.edu/courses/1551726/pages/lecture-4.31.delayed	(from http://www.eecs70.org/)
13:36:08	16679036/16679036	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-fe807c%22	http://www.eecs70.org/assets/pdf/slides/lec2_annotated.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/slides/lec2_annotated.pdf	(from http://www.eecs70.org/)
13:58:39	21441006/21441006	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-14729ee%22	http://www.eecs70.org/assets/pdf/slides/lec3.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/slides/lec3.pdf	(from http://www.eecs70.org/)
13:58:49	83108/83108	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-144a4%22	http://www.eecs70.org/assets/pdf/mini-vitamins/mini-vitamin-1b.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/mini-vitamins/mini-vitamin-1b.pdf	(from http://www.eecs70.org/)
13:59:09	150594/150594	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-24c42%22	http://www.eecs70.org/assets/pdf/notes/n4.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/notes/n4.pdf	(from http://www.eecs70.org/)
13:59:15	0/0	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2030%20Apr%202026%2005:59:15%20GMT	https://bcourses.berkeley.edu/courses/1551726/pages/lecture-5	D:/File/cs70_web/cs70/bcourses.berkeley.edu/courses/1551726/pages/lecture-5.36.delayed	(from http://www.eecs70.org/)
14:00:06	79008/79008	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-134a0%22	http://www.eecs70.org/assets/pdf/mini-vitamins/mini-vitamin-2a.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/mini-vitamins/mini-vitamin-2a.pdf	(from http://www.eecs70.org/)
14:01:09	356586/356586	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-570ea%22	http://www.eecs70.org/assets/pdf/notes/n5.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/notes/n5.pdf	(from http://www.eecs70.org/)
14:01:29	119437/119437	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-1d28d%22	http://www.eecs70.org/assets/pdf/dis02a.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/dis02a.pdf	(from http://www.eecs70.org/)
14:01:56	149894/149894	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-24986%22	http://www.eecs70.org/assets/pdf/dis02a-sol.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/dis02a-sol.pdf	(from http://www.eecs70.org/)
14:02:15	108190/108190	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-1a69e%22	http://www.eecs70.org/assets/pdf/dis02b.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/dis02b.pdf	(from http://www.eecs70.org/)
14:02:37	121273/121273	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-1d9b9%22	http://www.eecs70.org/assets/pdf/dis02b-sol.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/dis02b-sol.pdf	(from http://www.eecs70.org/)
14:02:54	100564/100564	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-188d4%22	http://www.eecs70.org/assets/pdf/hw02.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/hw02.pdf	(from http://www.eecs70.org/)
14:03:14	120472/120472	---M--	200	added ('OK')	application/pdf	etag:%2269f19021-1d698%22	http://www.eecs70.org/assets/pdf/hw02-sol.pdf	D:/File/cs70_web/cs70/www.eecs70.org/assets/pdf/hw02-sol.pdf	(from http://www.eecs70.org/)
